"8670","150G ELAN ORG. PUFFED QUINOA WRAPPED","150G ELAN QUINOA SOUFFLÉ  ENROBÉ BIO"
"9501","140G ELAN  ORGANIC RAW COCOA NIBS","140G ELAN  MORCEAUX DE CACAO CRU BIO"
"9502","150G ELAN  ORGANIC RAW COCOA BEANS","150G ELAN  FÈVES DE CACAO CRUES BIO"
"9505","180G ELAN  ORG 70% DARK CHOCOLATE COCOA NIBS","180G ELAN  BRISURES DE CACAO AU CHOC 70% NOIR BIO"
"9510","150G ELAN  ORG 70 % DARK CHOCOLATE QUINOA POPS","150G ELAN  QUINOA SOUFFLÉ CHOCOLAT 70% NOIR BIO"
"9515","160G ELAN  ORG CHOCO SOPHIE ALMONDS","160G ELAN  AMANDES CHOCO SOPHIE BIO"
"9570","200G ELAN  ORGANIC 70 % DARK CHOCOLATE CHIPS","200G ELAN  PÉPITES DE CHOCOLAT 70 % NOIR"
"9998","NEW ELAN DISPLAY RACK 21.5""X15""X5""","NOUVEAU PRÉSENTOIR ELAN 21.5""X15""X5	80.0000	Y	N	N	N	N	17.02.01	N	UNIT		Yes	_x000D_
09999	ELAN DISPLAY RACK (22''X12''X54"""")"""
"10101","BLANCHED PEANUTS RS","ARACHIDES BLANCHIES RS"
"10102","BLANCHED PEANUTS RNS","ARACHIDES BLANCHIES RNS"
"10103","BLANCHED PEANUTS RS (JUMBO)","ARACHIDES BLANCHIES RS (JUMBO)"
"10104","BLANCHED PEANUTS RNS (JUMBO)","ARACHIDES BLANCHIES RNS (JUMBO)"
"10105","SUGAR PEANUTS","ARACHIDES SUCRÉES"
"10106","BUTTER PEANUTS","ARACHIDES AU BEURRE"
"10107","HONEY PEANUTS","ARACHIDES AU MIEL"
"10108","REGULAR RAW BLANCHED PEANUTS","ARACHIDES CRÛES RÉGULIÈRES"
"10109","RED SKIN RAW PEANUTS","ARACHIDES PEAU ROUGE NATURELLES"
"10110","BBQ PEANUTS","ARACHIDES BBQ"
"10111","SPANISH PEANUTS RS","ARACHIDES ESPAGNOLES RS"
"10112","SPANISH PEANUTS RNS","ARACHIDES ESPAGNOLES RNS"
"10113","SOUDANI DRY ROASTED PEANUTS","ARACHIDES RÔTIES À SEC SOUDANI"
"10114","RED SKIN PEANUTS RS","ARACHIDES PEAU ROUGE RS"
"10115","RED SKIN PEANUTS RNS","ARACHIDES PEAU ROUGE RNS"
"10116","DRY ROASTED SPLIT PEANUTS","ARACHIDES RÔTIES À SEC (SPLIT)"
"10117","SPANISH RAW PEANUTS","ARACHIDES CRÛES ESPAGNOLES"
"10118","JUMBO RAW BLANCHED PEANUTS","ARACHIDES CRÛES BLANCHIES JUMBO"
"10119","JUMBO RED SKIN RAW PEANUTS","ARACHIDES CRÛES PEAU ROUGE JUMBO"
"10120","DRY ROASTED DICED PEANUTS","ARACHIDES RÔTIES EN DÉS"
"10121","DRY ROASTED SPLIT PEANUTS","ARACHIDES RÔTIES À SEC (SPLIT)"
"10125","PEANUT KRI KRI","ARACHIDES KRI KRI"
"10126","PEANUT DRY R.N.S","ARACHIDES RÔTIES À SEC R.N.S"
"10127","BBQ JUMBO DRY PEANUT","ARACHIDES B.B.Q JUMBO RÔTIES À SEC"
"10201","RAW WHOLE CASHEWS (W-320)","CAJOUS CRUS  (W-320)"
"10202","RAW JUMBO CASHEWS (SLW)","CAJOUS CRUS JUMBO (SLW)"
